Date,Open,High,Low,Close,Adj Close,Volume
2024-04-12,174.26,178.36,174.21,176.55,175.12,101670900
2024-04-15,175.36,176.63,172.50,172.69,171.29,73531800
2024-04-16,171.75,173.76,168.27,169.38,168.01,73711200
2024-04-17,169.61,170.65,168.00,168.00,166.64,50901200
2024-04-18,168.03,168.64,166.55,167.04,165.69,43122900
2024-04-19,166.21,166.40,164.08,165.00,163.66,68149400
2024-04-22,165.52,167.26,164.77,165.84,164.50,48116400
2024-04-23,165.35,167.05,164.92,166.90,165.55,49537800
2024-04-24,166.54,169.30,166.21,169.02,167.65,48251800
2024-04-25,169.53,170.61,168.15,169.89,168.52,50558300
2024-04-26,169.88,171.34,169.18,169.30,167.93,44838400
2024-04-29,173.37,176.03,173.10,173.50,172.10,68169400
2024-04-30,173.33,174.99,170.00,170.33,168.95,65934800
2024-05-01,169.58,172.71,169.11,169.30,167.93,50383100
2024-05-02,172.51,173.42,170.89,173.03,171.63,94214900
2024-05-03,186.65,187.00,182.66,183.38,181.90,163224100
2024-05-06,182.35,184.20,180.42,181.71,180.24,78569700
2024-05-07,183.45,184.90,181.32,182.40,180.92,77305800
2024-05-08,182.85,183.07,181.45,182.74,181.26,45057100
2024-05-09,182.56,184.66,182.11,184.57,183.08,48983000
2024-05-10,184.90,185.09,182.13,183.05,181.82,50759500
2024-05-13,185.44,187.10,184.62,186.28,185.02,72044800
2024-05-14,187.51,188.30,186.29,187.43,186.17,52393600
2024-05-15,187.91,190.65,187.37,189.72,188.44,70400000
2024-05-16,190.47,191.10,189.66,189.84,188.56,52845200
2024-05-17,189.51,190.81,189.18,189.87,188.59,41282900
2024-05-20,189.33,191.92,189.01,191.04,189.75,44361300
2024-05-21,191.09,192.73,190.92,192.35,191.05,42309400
2024-05-22,192.27,192.82,190.27,190.90,189.61,34648500
2024-05-23,190.98,191.00,186.63,186.88,185.62,51005900
2024-05-24,188.82,190.58,188.04,189.98,188.70,36327000
2024-05-28,191.51,193.00,189.10,189.99,188.71,52280100
2024-05-29,189.61,192.25,189.51,190.29,189.01,53068000
2024-05-30,190.76,192.18,190.63,191.29,190.00,49889100
2024-05-31,191.44,192.57,189.91,192.25,190.95,75158300
2024-06-03,192.90,194.99,192.52,194.03,192.72,50080500
2024-06-04,194.64,195.32,193.03,194.35,193.04,47471400
2024-06-05,195.40,196.90,194.87,195.87,194.55,54156800
2024-06-06,195.69,196.50,194.17,194.48,193.17,41181800
2024-06-07,194.65,196.94,194.14,196.89,195.56,53103900
2024-06-10,196.90,197.30,192.15,193.12,191.82,97010200
2024-06-11,193.65,207.16,193.63,207.15,205.75,172373300
2024-06-12,207.37,220.20,206.90,213.07,211.63,198134300
2024-06-13,214.74,216.75,211.60,214.24,212.79,97862700
2024-06-14,213.85,215.17,211.30,212.49,211.06,70122700
2024-06-17,213.37,218.95,212.72,216.67,215.21,93728300
2024-06-18,217.59,218.63,213.00,214.29,212.84,79943300
2024-06-20,213.93,214.24,208.85,209.68,208.27,86172500
2024-06-21,210.39,211.89,207.11,207.49,206.09,241805100
2024-06-24,207.72,212.70,206.59,208.14,206.74,80727000
2024-06-25,209.15,211.38,208.61,209.07,207.66,55549700
2024-06-26,211.50,214.86,210.64,213.25,211.81,66213200
2024-06-27,214.69,215.74,212.35,214.10,212.66,49772700
2024-06-28,215.77,216.07,210.30,210.62,209.20,82542700
2024-07-01,212.09,217.51,211.92,216.75,215.29,60402900
2024-07-02,216.15,220.38,215.10,220.27,218.78,58046200
2024-07-03,220.00,221.55,219.03,221.55,220.06,37369800
2024-07-05,221.65,226.45,221.65,226.34,224.81,60412400
2024-07-08,227.09,227.85,223.25,227.82,226.28,59085900
2024-07-09,227.93,229.40,226.37,228.68,227.14,48076100
2024-07-10,229.30,233.08,229.25,232.98,231.41,62627700
2024-07-11,231.39,232.39,225.77,227.57,226.03,64710600
2024-07-12,228.92,232.64,228.68,230.54,228.98,53046500
2024-07-15,236.48,237.23,233.09,234.40,232.82,62631300
2024-07-16,235.00,236.27,232.33,234.82,233.24,43234300
2024-07-17,229.45,231.46,226.64,228.88,227.34,57345900
2024-07-18,230.28,230.44,222.27,224.18,222.67,66034600
2024-07-19,224.82,226.80,223.28,224.31,222.80,49151500
2024-07-22,227.01,227.78,223.09,223.96,222.45,48201800
2024-07-23,224.37,226.94,222.68,225.01,223.49,39960300
