Date,Open,High,Low,Close,Adj Close,Volume
2024-04-30,401.49,402.16,389.17,389.33,385.04,28781400
2024-05-01,392.61,401.72,390.31,394.94,390.59,23562500
2024-05-02,397.66,399.93,394.65,397.84,393.46,17709400
2024-05-03,402.28,407.15,401.86,406.66,402.18,17446700
2024-05-06,408.76,413.93,406.37,413.54,408.98,16996600
2024-05-07,414.66,414.67,409.09,409.34,404.83,20018200
2024-05-08,408.17,412.23,406.71,410.54,406.02,11792300
2024-05-09,410.57,412.72,409.10,412.32,407.78,14689700
2024-05-10,412.94,415.38,411.80,414.74,410.17,13402300
2024-05-13,418.01,418.35,410.82,413.72,409.16,15440200
2024-05-14,412.02,417.49,411.55,416.56,411.97,15109300
2024-05-15,417.90,423.81,417.27,423.08,419.17,22239500
2024-05-16,421.80,425.42,420.35,420.99,417.10,17530100
2024-05-17,422.54,422.92,418.03,420.21,416.33,15352200
2024-05-20,420.21,426.77,419.99,425.34,421.41,16272100
2024-05-21,426.83,432.97,424.85,429.04,425.08,21453300
2024-05-22,430.09,432.41,427.13,430.52,426.54,18073700
2024-05-23,432.97,433.60,425.42,427.00,423.06,17211700
2024-05-24,427.19,431.06,424.41,430.16,426.19,11855300
2024-05-28,429.63,430.82,426.60,430.32,426.35,15718000
2024-05-29,425.69,430.94,425.69,429.17,425.21,15517100
2024-05-30,424.30,424.30,414.24,414.67,410.84,28394500
2024-05-31,416.75,416.75,404.51,415.13,411.30,47995300
2024-06-03,415.53,416.43,408.92,413.52,409.70,17484700
2024-06-04,412.43,416.44,409.68,416.07,412.23,14348900
2024-06-05,417.81,424.08,416.30,424.01,420.09,16988000
2024-06-06,424.01,425.31,420.58,424.52,420.60,14861300
2024-06-07,426.20,426.28,423.00,423.85,419.93,13621700
2024-06-10,424.70,428.08,423.89,427.87,423.92,13982900
2024-06-11,425.48,432.82,425.25,432.68,428.68,14551100
2024-06-12,435.32,443.40,433.25,441.06,436.99,22366200
2024-06-13,440.85,443.39,439.37,441.58,437.50,15960600
2024-06-14,438.28,443.14,436.72,442.57,438.48,13582000
2024-06-17,442.59,450.94,440.72,448.37,444.23,20790000
2024-06-18,449.71,450.14,444.89,446.34,442.22,17112500
2024-06-20,446.30,446.53,441.27,445.70,441.58,19877400
2024-06-21,447.38,450.58,446.51,449.78,445.63,34187100
2024-06-24,449.80,452.75,446.41,447.67,443.53,15913700
2024-06-25,448.25,451.42,446.75,450.95,446.78,16413400
2024-06-26,449.00,453.60,448.19,452.16,447.98,16507000
2024-06-27,452.18,456.17,451.77,452.85,448.67,14806300
2024-06-28,453.07,455.38,446.41,446.95,442.82,28362300
2024-07-01,448.66,457.37,445.66,456.73,452.51,17662800
2024-07-02,453.20,459.59,453.11,459.28,455.04,13979800
2024-07-03,458.19,461.02,457.88,460.77,456.51,9932800
2024-07-05,459.61,468.35,458.97,467.56,463.24,16000300
2024-07-08,466.55,467.70,464.46,466.24,461.93,12962300
2024-07-09,467.00,467.33,458.00,459.54,455.30,17207200
2024-07-10,461.22,466.46,458.86,466.25,461.94,18196100
2024-07-11,462.98,464.78,451.55,454.70,450.50,23111200
2024-07-12,454.33,456.36,450.65,453.55,449.36,16324300
2024-07-15,453.30,457.26,451.43,453.96,449.77,14429400
2024-07-16,454.22,454.30,446.66,449.52,445.37,17175700
2024-07-17,442.59,444.85,439.18,443.52,439.42,21778000
2024-07-18,444.34,444.65,434.40,440.37,436.30,20794800
2024-07-19,433.10,441.14,432.00,437.11,433.07,20940400
2024-07-22,441.79,444.60,438.91,442.94,438.85,15808800
2024-07-23,443.90,448.39,443.10,444.85,440.74,13107100
2024-07-24,440.45,441.48,427.59,428.90,424.94,26805800
2024-07-25,428.80,429.80,417.51,418.40,414.54,29943800
2024-07-26,418.20,428.92,417.27,425.27,421.34,23583800
2024-07-29,431.58,432.15,424.70,426.73,422.79,15125800
2024-07-30,427.72,429.05,417.36,422.92,419.01,32687600
2024-07-31,420.50,421.78,412.21,418.35,414.49,42891400
2024-08-01,420.79,427.46,413.09,417.11,413.26,30296400
2024-08-02,412.49,415.00,404.34,408.49,404.72,29437900
2024-08-05,389.17,401.04,385.58,395.15,391.50,40709200
2024-08-06,400.00,405.67,398.50,399.61,395.92,24946500
2024-08-07,408.64,410.08,397.47,398.43,394.75,20650900
2024-08-08,402.44,405.86,399.94,402.69,398.97,20203000
2024-08-09,404.03,408.05,402.26,406.02,402.27,19276700
2024-08-12,407.06,408.76,404.24,406.81,403.05,16762900
2024-08-13,409.59,414.95,409.57,414.01,410.19,19414300
2024-08-14,414.80,417.72,412.45,416.86,413.01,18267000
2024-08-15,419.80,421.11,417.66,421.03,417.89,20752100
2024-08-16,420.60,421.34,417.30,418.47,415.35,22775600
2024-08-19,418.96,421.75,416.46,421.53,418.39,15234000
2024-08-20,421.70,425.86,421.64,424.80,421.63,16387600
2024-08-21,424.08,426.40,421.72,424.14,420.98,16067300
2024-08-22,424.36,426.79,414.61,415.55,412.45,19361900
2024-08-23,416.98,419.26,412.09,416.79,413.68,18493800
2024-08-26,416.37,417.28,411.34,413.49,410.41,13152800
2024-08-27,412.86,414.36,410.25,413.84,410.76,13492900
2024-08-28,414.88,415.00,407.31,410.60,407.54,14882700
2024-08-29,414.94,422.05,410.60,413.12,410.04,17045200
2024-08-30,415.60,417.49,412.13,417.14,414.03,24308300
2024-09-03,417.91,419.88,407.03,409.44,406.39,20313600
2024-09-04,405.91,411.24,404.37,408.90,405.85,15135800
2024-09-05,407.62,413.10,406.13,408.39,405.35,14195500
2024-09-06,409.06,410.65,400.80,401.70,398.71,19609500
2024-09-09,407.24,408.65,402.15,405.72,402.70,15295100
2024-09-10,408.20,416.33,407.70,414.20,411.11,19594300
2024-09-11,415.50,423.99,409.58,423.04,419.89,19266900
2024-09-12,423.31,427.37,419.75,427.00,423.82,17395700
2024-09-13,425.83,431.83,425.46,430.59,427.38,15874600
2024-09-16,430.60,433.53,428.22,431.34,428.13,13834700
2024-09-17,440.23,441.85,432.27,435.15,431.91,18874200
2024-09-18,435.00,436.03,430.41,430.81,427.60,18898000
2024-09-19,441.23,441.50,436.90,438.69,435.42,21706600
2024-09-20,437.22,439.24,434.22,435.27,432.03,55167100
2024-09-23,434.28,436.46,430.39,433.51,430.28,15128900
2024-09-24,433.00,433.35,426.10,429.17,425.97,17015800
2024-09-25,429.83,433.12,428.57,432.11,428.89,13396400
2024-09-26,435.09,435.30,429.13,431.31,428.10,14492000
2024-09-27,431.52,431.85,427.47,428.02,424.83,14896100
2024-09-30,428.21,430.42,425.37,430.30,427.09,16807300
2024-10-01,428.45,428.48,418.81,420.69,417.56,19092900
2024-10-02,422.58,422.82,416.71,417.13,414.02,16582300
2024-10-03,417.63,419.55,414.29,416.54,413.44,13686400
2024-10-04,418.24,419.75,414.97,416.06,412.96,19169700
2024-10-07,416.00,417.11,409.00,409.54,406.49,20919800
2024-10-08,410.90,415.66,408.17,414.71,411.62,19229300
2024-10-09,415.86,420.38,414.30,417.46,414.35,14974300
2024-10-10,415.23,417.35,413.15,415.84,412.74,13848400
2024-10-11,416.14,417.13,413.25,416.32,413.22,14144900
2024-10-14,417.77,424.04,417.52,419.14,416.02,16653100
2024-10-15,422.18,422.48,415.26,418.74,415.62,18900200
2024-10-16,415.17,416.36,410.48,416.12,413.02,15508900
2024-10-17,422.36,422.50,415.59,416.72,413.61,14820000
2024-10-18,417.14,419.65,416.26,418.16,415.04,17145300
2024-10-21,416.12,418.96,413.75,418.78,415.66,14206100
2024-10-22,418.49,430.58,418.04,427.51,424.32,25482200
2024-10-23,430.86,431.08,422.53,424.60,421.44,19654400
2024-10-24,425.33,425.98,422.40,424.73,421.57,13581600
2024-10-25,426.76,432.52,426.57,428.15,424.96,16899100
2024-10-28,431.66,431.94,426.30,426.59,423.41,14882400
2024-10-29,428.00,433.17,425.80,431.95,428.73,17644100
2024-10-30,437.44,438.50,432.10,432.53,429.31,29749100
2024-10-31,415.36,416.16,406.30,406.35,403.32,53971000
2024-11-01,409.01,415.50,407.50,410.37,407.31,24230400
2024-11-04,409.80,410.42,405.57,408.46,405.42,19672300
2024-11-05,408.37,414.90,408.08,411.46,408.39,17626000
2024-11-06,412.42,420.45,410.52,420.18,417.05,26681800
2024-11-07,421.28,426.85,419.88,425.43,422.26,19901800
2024-11-08,425.32,426.50,421.78,422.54,419.39,16891400
2024-11-11,422.52,424.81,416.00,418.01,414.90,24503300
2024-11-12,418.25,424.44,417.20,423.03,419.88,19401200
2024-11-13,421.64,429.33,418.21,425.20,422.03,21502200
2024-11-14,425.00,428.17,420.00,426.89,423.71,30246900
2024-11-15,419.82,422.80,413.64,415.00,411.91,28247600
2024-11-18,414.87,418.40,412.10,415.76,412.66,24727000
2024-11-19,413.11,417.94,411.55,417.79,414.68,18133500
2024-11-20,416.87,417.29,410.58,415.49,412.39,19191700
2024-11-21,419.50,419.78,410.29,412.87,410.61,20780200
2024-11-22,411.37,417.40,411.06,417.00,414.72,24814600
2024-11-25,418.38,421.08,414.85,418.79,416.50,27691100
2024-11-26,419.59,429.04,418.85,427.99,425.65,23458900
2024-11-27,425.11,427.23,422.02,422.99,420.68,18332400
2024-11-29,420.09,424.88,417.80,423.46,421.15,16271900
2024-12-02,421.57,433.00,421.31,430.98,428.62,20207200
2024-12-03,429.84,432.47,427.74,431.20,428.84,18302000
2024-12-04,433.03,439.67,432.63,437.42,435.03,26009400
2024-12-05,437.92,444.66,436.17,442.62,440.20,21697800
2024-12-06,442.30,446.10,441.77,443.57,441.15,18821000
2024-12-09,442.60,448.33,440.50,446.02,443.58,19144400
2024-12-10,444.39,449.62,441.60,443.33,440.91,18469500
2024-12-11,444.05,450.35,444.05,448.99,446.54,19200200
2024-12-12,449.11,456.16,449.11,449.56,447.10,20834800
2024-12-13,448.44,451.43,445.58,447.27,444.83,20177800
2024-12-16,447.27,452.18,445.28,451.59,449.12,23598800
2024-12-17,451.01,455.29,449.57,454.46,451.98,22733500
2024-12-18,451.32,452.65,437.02,437.39,435.00,24444500
2024-12-19,441.62,443.18,436.32,437.03,434.64,22963700
2024-12-20,433.11,443.74,428.63,436.60,434.21,64263700
2024-12-23,436.74,437.65,432.83,435.25,432.87,19152500
2024-12-24,434.65,439.60,434.19,439.33,436.93,7164500
2024-12-26,439.08,440.94,436.63,438.11,435.72,8194200
2024-12-27,434.60,435.22,426.35,430.53,428.18,18117700
2024-12-30,426.06,427.55,421.90,424.83,422.51,13158700
2024-12-31,426.10,426.73,420.66,421.50,419.20,13246500

